NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"704882";8;8;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7141350002";417;405;1;11;102;97;1;95,10;0;0;1;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"70934SET";2;2;0;0;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7141350004";36;33;0;3;5;4;0;80;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7141350102";254;243;2;9;43;41;0;95,35;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7141350102XK";23;23;0;0;6;6;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"722619";20;19;0;1;3;3;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7222770095";88;82;0;6;22;17;0;77,27;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"722621";6;6;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7252703114";131;109;3;19;10;7;0;70;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7252703203";69;64;0;5;8;1;1;12,50;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7252703707";725;688;2;35;110;17;5;15,45;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7252707702";10;10;0;0;8;5;0;62,50;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7252708704";15;13;1;1;1;1;1;100;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7252708804";278;269;0;9;29;9;1;31,03;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"7252716100";35;31;0;4;4;1;1;25;0;0;1;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"73961SET";12;12;0;0;2;2;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"73961";21;20;0;1;2;1;0;50;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"73963SET";5;5;0;0;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"73967";3;3;0;0;1;1;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"73972";28;24;0;4;3;3;0;100;0;0;0;0;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"73972SET";29;28;1;0;6;4;0;66,67;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"73974SET";13;12;0;1;5;2;0;40;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"73978SET";55;51;1;3;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"73982SET";18;17;0;1;3;2;0;66,67;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
"74768SET";2;2;0;0;1;1;0;100;0;0;0;1;4921;"Teilesatz, Automatikgetriebe-Ölwechsel"
