GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;SACHS;HERTH+BUSS JAKOPARTS;JAPANPARTS;AISIN;BorgWarner;BLUE PRINT;EXEDY;RYMEC;Schaeffler LuK
479;Kupplungssatz;25191614;1;0,0005;1;1;0;1;0;0;1;0;0;1
479;Kupplungssatz;25192482;12;0,0066;1;1;0;1;0;0;1;0;1;1
479;Kupplungssatz;25194055;1;0,0005;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2519761;6;0,0033;0;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;2519763;33;0,018;1;1;0;0;0;0;0;0;0;0
479;Kupplungssatz;25197793;2;0,0011;0;1;0;0;0;0;0;0;1;0
479;Kupplungssatz;2519788;13;0,0071;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;25198334;2;0,0011;1;0;0;1;0;0;0;0;1;0
479;Kupplungssatz;25198335;1;0,0005;1;0;0;1;0;0;0;0;1;0
479;Kupplungssatz;25200600;3;0,0016;0;1;0;0;0;0;0;0;1;0
479;Kupplungssatz;2521670;18;0,0098;1;1;0;0;0;0;1;0;0;1
479;Kupplungssatz;2522128;9;0,0049;1;1;0;0;0;0;1;0;0;0
479;Kupplungssatz;2522130;7;0,0038;1;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2522145;1;0,0005;0;1;0;0;0;0;0;0;0;1
479;Kupplungssatz;2525309;7;0,0038;1;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;252537;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;253049;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2545138;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;254741;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;2551980;3;0,0016;0;1;0;0;1;0;0;1;0;1
479;Kupplungssatz;255381;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;255412;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;25826086;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;259325;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;25982;1;0,0005;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;25IZ016;1;0,0005;0;0;0;1;0;0;1;0;0;0
479;Kupplungssatz;25KI105;2;0,0011;0;0;1;1;0;0;1;0;0;0
479;Kupplungssatz;25NI085;1;0,0005;0;0;1;1;0;0;1;0;0;0
479;Kupplungssatz;25SZ003;1;0,0005;0;0;0;1;0;0;1;0;0;0
479;Kupplungssatz;25SZ077;1;0,0005;0;0;1;1;0;0;1;0;0;0
479;Kupplungssatz;25SZ079;1;0,0005;0;0;1;1;0;0;0;0;0;0
479;Kupplungssatz;25TA011;1;0,0005;0;0;0;1;0;0;0;0;0;0
479;Kupplungssatz;261024;2;0,0011;0;0;0;0;0;0;0;0;0;0
479;Kupplungssatz;26150739;1;0,0005;0;0;0;0;0;0;0;0;0;0
