NORMSEARCHWORD;SUMMCNT;CNT_WITH_KART;CNT_NOT_FOUND;CNT_NO_KART;QTY_POS;GENART_QTY_POS;GENART_DLNR_QTY_POS;PERCENT_QTY_POS;U4_OE;SA200;SA203FF;IAM_GENART;GENARTNR;GENARTDESCR
"028141034N";4;4;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"028141034T";28;27;0;1;3;1;0;33,33;1;0;1;0;479;"Kupplungssatz"
"028141035C";109;95;0;14;2;1;0;50;1;0;1;0;479;"Kupplungssatz"
"028141035M";36;33;0;3;3;1;0;33,33;1;0;1;0;479;"Kupplungssatz"
"028141035P";12;12;0;0;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"028141036C";12;10;0;2;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"028141036K";81;77;0;4;3;2;0;66,67;1;0;1;0;479;"Kupplungssatz"
"028141036L";65;62;0;3;6;4;0;66,67;1;0;1;0;479;"Kupplungssatz"
"028141036Q";27;26;0;1;2;2;0;100;1;0;1;0;479;"Kupplungssatz"
"028141117X";7;6;0;1;1;1;0;100;1;0;0;0;479;"Kupplungssatz"
"028198141";16;15;0;1;1;1;0;100;0;0;0;0;479;"Kupplungssatz"
"028198141AX";338;327;2;9;71;66;14;92,96;1;0;1;0;479;"Kupplungssatz"
"028198141BX";268;254;1;13;15;13;12;86,67;0;0;1;0;479;"Kupplungssatz"
"028198141CX";367;354;1;12;36;34;9;94,44;0;0;1;0;479;"Kupplungssatz"
"028198141DX";48;34;0;14;1;1;0;100;1;0;1;0;479;"Kupplungssatz"
"028198141EX";60;45;0;15;1;1;1;100;1;0;1;0;479;"Kupplungssatz"
"028198141FX";125;95;1;29;2;2;0;100;1;0;0;0;479;"Kupplungssatz"
"028198141MX";9;9;0;0;1;1;1;100;0;0;1;0;479;"Kupplungssatz"
