GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);HENGST FILTER;FEBI BILSTEIN;MEYLE;SWAG;VAICO;TRUCKTEC AUTOMOTIVE;ORIGINAL Sch?ferbarthold;TCMATIC;AIC;ZF
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350012;3;0,0102;0;0;1;0;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350012SK;1;0,0034;0;0;1;0;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350012XK;1;0,0034;0;0;1;0;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350013;9;0,0307;0;1;1;0;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350013SK;4;0,0136;0;1;1;0;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350013XK;1;0,0034;0;1;1;0;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350014;14;0,0478;0;1;1;1;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350014XK;2;0,0068;0;1;1;1;1;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350015;1;0,0034;0;0;1;0;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350016;12;0,0409;0;0;1;0;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350016SK;1;0,0034;0;0;1;0;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350100;9;0,0307;0;1;1;0;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350100SK;2;0,0068;0;1;1;0;1;0;0;1;0;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350100XK;2;0,0068;0;1;1;0;0;0;0;1;0;0
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350101;7;0,0239;0;1;1;0;1;0;0;1;1;1
4921;Teilesatz, Automatikgetriebe-?lwechsel;1001350101XK;1;0,0034;0;1;1;0;0;0;0;1;0;0
