GENARTNR;GENARTDESCR;NORMSEARCHWORD;QTY_POS;RATIO (%);VALEO;LEMF?RDER;METZGER AUTOTEILE;MAGNETI MARELLI;FEBI BILSTEIN;MAXGEAR;DOGA;ELECTRIC LIFE;Ac Rolcar;VAN WEZEL
1561;Fensterheber;018101;3;0,0084;1;0;1;1;1;0;1;1;1;1
1561;Fensterheber;018102;1;0,0028;0;0;0;1;0;0;1;1;1;1
1561;Fensterheber;018196;1;0,0028;1;0;1;0;1;1;0;1;1;1
1561;Fensterheber;018197;1;0,0028;1;0;1;0;1;1;0;1;1;1
1561;Fensterheber;018258;3;0,0084;1;0;1;1;1;1;0;1;1;1
1561;Fensterheber;018272;1;0,0028;0;0;0;0;0;0;1;1;1;0
1561;Fensterheber;018273;2;0,0056;0;0;0;0;0;0;1;1;1;0
1561;Fensterheber;018283;1;0,0028;0;0;0;1;0;0;0;1;1;1
1561;Fensterheber;018286;2;0,0056;0;0;1;0;0;0;0;0;1;0
1561;Fensterheber;018300;16;0,0447;0;0;1;1;0;1;0;1;1;1
1561;Fensterheber;018356;3;0,0084;0;0;0;1;0;0;1;1;1;0
1561;Fensterheber;018357;10;0,0279;0;0;0;1;0;0;1;1;1;0
1561;Fensterheber;018374;1;0,0028;0;0;1;1;0;0;1;1;1;0
1561;Fensterheber;018407;2;0,0056;0;0;0;0;0;0;0;1;1;0
1561;Fensterheber;018411;1;0,0028;1;0;0;1;0;0;1;1;1;0
1561;Fensterheber;018414;3;0,0084;0;0;1;1;0;1;1;1;1;1
1561;Fensterheber;018523;1;0,0028;0;0;1;0;0;0;0;0;1;0
1561;Fensterheber;018552;1;0,0028;0;0;1;0;0;0;0;1;1;0
1561;Fensterheber;01SKV031;1;0,0028;0;0;1;0;1;1;0;0;0;0
1561;Fensterheber;01SKV051;1;0,0028;0;0;1;0;0;1;0;0;0;0
1561;Fensterheber;01SKV071;2;0,0056;0;0;1;0;1;1;0;0;0;0
1561;Fensterheber;01SKV151;1;0,0028;0;0;1;0;1;0;0;0;0;0
1561;Fensterheber;01SKV362;1;0,0028;0;0;1;0;1;1;0;0;0;0
1561;Fensterheber;01SKV451;1;0,0028;0;0;1;0;0;0;0;0;0;0
1561;Fensterheber;01SKV462;1;0,0028;0;0;1;0;0;0;0;0;0;0
1561;Fensterheber;01SKV483;1;0,0028;0;0;0;0;0;0;1;0;0;0
1561;Fensterheber;01SKV561;2;0,0056;0;0;1;0;1;0;0;0;0;0
1561;Fensterheber;01SKV761;1;0,0028;0;0;1;0;0;0;1;0;0;0
1561;Fensterheber;01SKV913;3;0,0084;0;0;1;0;1;0;0;0;0;0
1561;Fensterheber;01SKV922;1;0,0028;0;0;1;0;1;1;1;0;0;0
1561;Fensterheber;02023700A;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;021354;1;0,0028;0;0;0;1;0;0;1;1;1;0
1561;Fensterheber;021355;1;0,0028;0;0;0;1;0;0;1;1;1;0
1561;Fensterheber;0248265;1;0,0028;0;0;0;0;0;0;1;0;0;1
1561;Fensterheber;0248266;1;0,0028;0;0;0;0;0;0;1;0;0;1
1561;Fensterheber;0254005;1;0,0028;0;0;0;0;1;0;0;0;0;0
1561;Fensterheber;0254012;1;0,0028;0;0;1;0;0;0;0;0;0;0
1561;Fensterheber;0301264;1;0,0028;0;0;1;0;0;0;1;1;0;1
1561;Fensterheber;0302261;6;0,0168;0;0;0;0;0;0;1;1;0;1
1561;Fensterheber;0315261;5;0,014;0;0;1;1;0;1;0;1;1;1
1561;Fensterheber;0315262;3;0,0084;0;0;1;1;0;1;0;1;1;1
1561;Fensterheber;0317989;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;031812;1;0,0028;1;0;0;1;0;0;1;1;1;1
1561;Fensterheber;031815;1;0,0028;1;0;1;1;1;1;1;1;1;1
1561;Fensterheber;0318261;8;0,0223;0;0;1;0;1;0;1;0;1;1
1561;Fensterheber;0318264;6;0,0168;0;0;1;0;0;1;1;1;1;1
1561;Fensterheber;0323265;4;0,0112;0;0;1;1;0;0;0;1;1;1
1561;Fensterheber;0323266;4;0,0112;0;0;1;1;0;1;0;1;1;1
1561;Fensterheber;0325261;48;0,134;0;0;1;1;1;0;0;1;1;1
1561;Fensterheber;0325261VWA;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0325262;18;0,0503;0;0;1;1;1;0;0;1;1;1
1561;Fensterheber;0325262WEZEL;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0325263;2;0,0056;0;0;1;1;1;1;0;1;1;1
1561;Fensterheber;032620;1;0,0028;0;0;1;1;1;1;0;1;1;1
1561;Fensterheber;032621;2;0,0056;0;0;1;1;1;1;1;1;1;1
1561;Fensterheber;0327261;1;0,0028;0;0;1;0;0;1;0;1;1;1
1561;Fensterheber;0328261;3;0,0084;0;0;0;0;0;0;0;0;0;1
1561;Fensterheber;0328262;6;0,0168;0;0;0;0;0;0;0;0;0;1
1561;Fensterheber;0328262VWA;1;0,0028;0;0;0;0;0;0;0;0;0;0
1561;Fensterheber;0330261;7;0,0195;0;0;1;1;1;1;0;1;1;1
1561;Fensterheber;0330262;3;0,0084;0;0;1;1;1;1;0;1;1;1
